Monat;EEG12 3ct GAB EVK1;Manure -100;Waste and Residue +10
Jan 23;13.4;35;18
Feb 23;13.42;33;17
Mrz 23;13.44;27;14
Apr 23;13.46;27;14
Mai 23;13.48;27.2;14.1
Jun 23;13.5;27.4;14.2
Jul 23;13.52;27.1;14
Aug 23;13.74;23.5;12.2
Sep 23;13.63;20.2;10.3
Okt 23;11;17.3;10.2
Nov 23;10.9;16.5;10.2
Dez 23;10.8;14.5;10.3
Jan 24;10.3;13.9;10.1
Feb 24;9.5;12.8;10.1
Mrz 24;9.2;12.4;10.1
Apr 24;9.1;13;10.1
Mai 24;9;13.5;9.8
Jun 24;8.9;13.7;9.7
Jul 24;9.1;12.7;9.5
Aug 24;9.1;11;9.3
Sep 24;8.8;9.5;8.7
Okt 24;8.6;11.2;8.7
Nov 24;8.6;12.5;9.3
Dez 24;8.6;12;9.3
Jan 25;8.6;12.5;9.3
Feb 25;8.5;12.5;9.4
Mrz 25;8.6;11.3;8.9
Apr 25;8.2;9.9;8.4
Mai 25;8;9.7;8.1
Jun 25;7.9;10.1;7.9
Jul 25;7.8;11.4;7.7
Aug 25;7.8;11.4;7.4
Sep 25;7.5;11.5;7.1
Okt 25;7.0;12.4;7.1
Nov 25;7.0;12.8;7.3
Dez 25;6.9;13;7.3

Jan 26;7.0;13;7.3
