Monat;EEG12 3ct GAB EVK1;Manure -100;Waste and Residue +10
01.01.23;13.4;35;18
01.02.23;13.42;33;17
01.03.23;13.44;27;14
01.04.23;13.46;27;14
01.05.23;13.48;27.2;14.1
01.06.23;13.5;27.4;14.2
01.07.23;13.52;27.1;14
01.08.23;13.74;23.5;12.2
01.09.23;13.63;20.2;10.3
01.10.23;11;17.3;10.2
01.11.23;10.9;16.5;10.2
01.12.23;10.8;14.5;10.3
01.01.24;10.3;13.9;10.1
01.02.24;9.5;12.8;10.1
01.03.24;9.2;12.4;10.1
01.04.24;9.1;13;10.1
01.05.24;9;13.5;9.8
01.06.24;8.9;13.7;9.7
01.07.24;9.1;12.7;9.5
01.08.24;9.1;11;9.3
01.09.24;8.8;9.5;8.7
01.10.24;8.6;11.2;8.7
01.11.24;8.6;12.5;9.3
01.12.24;8.6;12;9.3
01.01.25;8.6;12.5;9.3
01.02.25;8.5;12.5;9.4
01.03.25;8.6;11.3;8.9
01.04.25;8.2;9.9;8.4
01.05.25;8;9.7;8.1
01.06.25;7.9;10.1;7.9
01.07.25;7.8;11.4;7.7
01.08.25;7.8;11.4;7.4
01.09.25;7.5;11.5;7.1
01.10.25;7.0;12.4;7.1
01.11.25;7.0;12.8;7.3
01.12.25;6.9;13;7.3
01.01.26;7.0;13;7.3
